1,92,1,LSM04L04,SELV0120,SELV0130,CAT_19,CIT_01&SCIT_01,30,3,0,0,0,0,0,0
0,-2,1,0,1,0,0,1,0,0,0,1,0,1,1,0
0,-2,1,0,1,0,0,1,0,0,0,1,0,1,0,0
,,,,,,,,,,,,,,,
0,3,0,0,4,0,0,3,0,1,-2,0,0,0,0,0
0,3,0,0,4,0,0,3,0,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,
0,-2,1,0,1,0,0,0,0,-2,1,0,1,0,0,0
0,-2,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
0,0,0,0,0,3,0,0,0,3,0,2,0,1,0,-4
0,0,0,0,0,4,0,6,0,0,0,0,0,4,0,-3
,,,,,,,,,,,,,,,
0,1,0,0,3,0,0,0,0,0,0,0,0,3,-2,-1
0,-4,0,1,0,2,0,3,0,3,0,0,0,-2,0,3
,,,,,,,,,,,,,,,
0,1,0,1,0,0,0,1,0,-2,0,1,0,-2,0,1
0,1,0,1,0,0,0,1,0,-2,0,1,0,-4,0,3
,,,,,,,,,,,,,,,
0,1,0,1,0,0,0,1,0,-2,0,1,0,-2,0,1
0,1,0,1,0,0,0,1,0,-2,0,1,0,-4,0,3
,,,,,,,,,,,,,,,
0,1,0,1,0,0,0,1,0,-2,0,1,0,-2,0,1
0,1,0,1,0,0,0,1,0,-2,0,1,0,-4,0,3
,,,,,,,,,,,,,,,
0,0,0,0,0,3,0,0,0,3,0,2,0,1,0,-4
0,0,0,0,0,4,0,6,0,0,0,0,0,4,0,-3
