3,120,1,LSM04L10,SELV0120,SELV0130,,CIT_01&SCIT_01,60,8,0,0,0,0,0,0
0,F2,0,0,0,F2,0,E3,0,F2,0,F2,0,E3,0,F2
0,0,0,F2,0,F2,0,E3,0,F4,0,F2,0,0,0,D3
,,,,,,,,,,,,,,,
0,E3,0,0,0,E3,0,E3,0,E3,0,E4,0,E3,0,E1
0,0,0,D3,0,0,0,E3,0,0,A6,0,0,0,0,0
,,,,,,,,,,,,,,,
0,F2,0,0,0,F2,0,E3,0,F2,0,F2,0,E3,0,F2
0,0,0,F2,0,F2,0,E3,0,F4,0,F2,0,0,0,D3
,,,,,,,,,,,,,,,
0,E3,0,0,0,E3,0,E3,0,E3,0,E4,0,E3,0,E1
0,0,0,0,0,0,0,F2,0,0,0,A6,0,0,0,D3
,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,D3,0,D3,0,E1
,,,,,,,,,,,,,,,
0,E3,0,E3,0,E3,0,E3,0,E3,0,E4,0,E3,0,E1
0,0,0,D3,0,0,0,E3,0,0,A6,0,0,0,0,0
,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,D3,0,D3,0,E1
,,,,,,,,,,,,,,,
0,E3,0,E3,0,E3,0,E3,0,E3,0,E4,0,E3,0,E1
0,0,0,0,0,0,0,D3,0,E1,0,E3,0,D3,0,0
,,,,,,,,,,,,,,,
0,D3,0,0,0,A5,0,0,0,D3,0,0,0,A6,0,0
0,D3,0,0,0,A5,0,0,0,D3,0,0,0,A6,0,0
,,,,,,,,,,,,,,,
0,D3,0,0,0,A5,0,0,0,D3,0,0,0,A6,0,0
0,D3,0,0,0,0,0,D3,0,E1,0,E3,0,D3,0,0
,,,,,,,,,,,,,,,
0,D3,0,0,0,A5,0,0,0,D3,0,0,0,A6,0,0
0,D3,0,0,0,A5,0,0,0,D3,0,0,0,A6,0,0
,,,,,,,,,,,,,,,
0,D3,0,0,0,A5,0,0,0,D3,0,0,0,A6,0,0
0,0,0,0,0,0,0,C2,0,D3,0,E1,0,D3,0,E1
,,,,,,,,,,,,,,,
0,E3,0,0,E3,0,0,E3,0,0,F2,0,0,D3,0,0
0,0,0,0,0,0,0,C2,0,D3,0,E1,0,D3,0,E1
,,,,,,,,,,,,,,,
0,E3,0,0,E3,0,0,E3,0,0,F2,0,0,D3,0,0
0,0,0,0,0,0,0,C2,0,D3,0,E1,0,D3,0,E1
,,,,,,,,,,,,,,,
0,E3,0,0,D3,0,0,C2,0,0,E1,0,0,D3,0,0
D2,0,0,C4,0,0,0,C2,0,D3,0,E1,0,D3,0,E1
,,,,,,,,,,,,,,,
0,E3,0,0,D3,0,0,C2,0,0,E1,0,0,D3,0,0
D2,0,0,C4,0,0,0,C2,0,D3,0,E1,0,D3,0,E1
,,,,,,,,,,,,,,,
0,E3,0,0,E3,0,0,E3,0,0,F2,0,0,D3,0,0
0,0,0,0,0,0,0,C2,0,D3,0,E1,0,D3,0,E1
,,,,,,,,,,,,,,,
0,E3,0,0,E3,0,0,E3,0,0,F2,0,0,D3,0,0
0,0,0,0,0,0,0,C2,0,D3,0,E1,0,D3,0,E1
,,,,,,,,,,,,,,,
0,E3,0,0,D3,0,0,C2,0,0,E1,0,0,D3,0,0
D2,0,0,C4,0,0,0,C2,0,D3,0,E1,0,D3,0,E1
,,,,,,,,,,,,,,,
0,E3,0,0,D3,0,0,C2,0,0,E1,0,0,D3,0,0
D2,0,0,C4,0,0,C2,0,0,B3,0,0,B1,0,0,A3
,,,,,,,,,,,,,,,
0,C4,0,0,0,C2,0,0,0,C2,0,C2,0,B1,0,B3
0,C2,0,0,0,C2,0,B3,0,C2,0,0,0,C2,0,C4
,,,,,,,,,,,,,,,
0,C2,0,0,0,0,0,B3,0,0,0,B3,0,C2,0,C4
0,C2,0,0,0,0,0,B3,0,0,0,C2,0,C4,0,D3
,,,,,,,,,,,,,,,
0,E1,0,E3,0,D3,0,0,0,D3,0,D3,0,C2,0,C4
0,D3,0,0,0,D3,0,C4,0,D3,0,E1,0,E3,0,E4
,,,,,,,,,,,,,,,
0,E3,0,0,A6,0,0,D3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,E3,0,E4,0,F2,0,F2
,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,E4,0,E3,0,E3
0,0,0,E1,0,0,0,D3,0,D3,0,E1,0,E3,0,E4
,,,,,,,,,,,,,,,
0,0,0,0,0,E3,0,E1,0,0,0,E1,0,E3,0,E1
0,0,A6,0,0,D3,0,C2,0,C2,0,C4,0,D3,0,E1
,,,,,,,,,,,,,,,
0,E3,0,0,0,E4,0,E3,0,0,0,0,0,E1,0,E1
0,0,0,0,0,D3,0,D3,0,0,0,F2,0,0,0,F2
,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
