Lv,Type,Exp,Hp
1,CLV,8,250
2,CLV,25,259
3,CLV,48,268
4,CLV,75,277
5,CLV,108,286
6,CLV,145,295
7,CLV,188,304
8,CLV,235,313
9,CLV,288,322
10,CLV,345,331
11,CLV,410,340
12,CLV,485,349
13,CLV,570,358
14,CLV,665,367
15,CLV,770,376
16,CLV,888,385
17,CLV,1020,394
18,CLV,1168,403
19,CLV,1330,412
20,CLV,1508,421
21,CLV,1703,430
22,CLV,1918,439
23,CLV,2153,448
24,CLV,2408,457
25,CLV,2683,466
26,CLV,2980,475
27,CLV,3303,484
28,CLV,3650,493
29,CLV,4023,502
30,CLV,4420,511
31,CLV,4845,520
32,CLV,5300,529
33,CLV,5785,538
34,CLV,6300,547
35,CLV,6845,556
36,CLV,7425,565
37,CLV,8045,574
38,CLV,8705,583
39,CLV,9405,592
40,CLV,10145,601
41,CLV,10930,610
42,CLV,11765,619
43,CLV,12650,628
44,CLV,13585,637
45,CLV,14570,646
46,CLV,15618,655
47,CLV,16740,664
48,CLV,17938,673
49,CLV,19210,682
50,CLV,20558,691
