Lv,Type,Exp,Hp
1,CLV,3,100
2,CLV,10,103
3,CLV,19,106
4,CLV,30,109
5,CLV,43,112
6,CLV,58,115
7,CLV,75,118
8,CLV,94,121
9,CLV,115,124
10,CLV,138,127
11,CLV,164,130
12,CLV,194,133
13,CLV,228,136
14,CLV,266,139
15,CLV,308,142
16,CLV,355,145
17,CLV,408,148
18,CLV,467,151
19,CLV,532,154
20,CLV,603,157
21,CLV,681,160
22,CLV,767,163
23,CLV,861,166
24,CLV,963,169
25,CLV,1073,172
26,CLV,1192,175
27,CLV,1321,178
28,CLV,1460,181
29,CLV,1609,184
30,CLV,1768,187
31,CLV,1938,190
32,CLV,2120,193
33,CLV,2314,196
34,CLV,2520,199
35,CLV,2738,202
36,CLV,2970,205
37,CLV,3218,208
38,CLV,3482,211
39,CLV,3762,214
40,CLV,4058,217
41,CLV,4372,220
42,CLV,4706,223
43,CLV,5060,226
44,CLV,5434,229
45,CLV,5828,232
46,CLV,6247,235
47,CLV,6696,238
48,CLV,7175,241
49,CLV,7684,244
50,CLV,8223,247
