Lv,Type,Exp,Hp
1,CLV,5,160
2,CLV,16,165
3,CLV,30,170
4,CLV,48,175
5,CLV,69,180
6,CLV,93,185
7,CLV,120,190
8,CLV,150,195
9,CLV,184,200
10,CLV,221,205
11,CLV,262,210
12,CLV,310,215
13,CLV,365,220
14,CLV,426,225
15,CLV,493,230
16,CLV,568,235
17,CLV,653,240
18,CLV,747,245
19,CLV,851,250
20,CLV,965,255
21,CLV,1090,260
22,CLV,1227,265
23,CLV,1378,270
24,CLV,1541,275
25,CLV,1717,280
26,CLV,1907,285
27,CLV,2114,290
28,CLV,2336,295
29,CLV,2574,300
30,CLV,2829,305
31,CLV,3101,310
32,CLV,3392,315
33,CLV,3702,320
34,CLV,4032,325
35,CLV,4381,330
36,CLV,4752,335
37,CLV,5149,340
38,CLV,5571,345
39,CLV,6019,350
40,CLV,6493,355
41,CLV,6995,360
42,CLV,7530,365
43,CLV,8096,370
44,CLV,8694,375
45,CLV,9325,380
46,CLV,9995,385
47,CLV,10714,390
48,CLV,11480,395
49,CLV,12294,400
50,CLV,13157,405
