Lv,Type,Exp,Hp
1,CLV,4,130
2,CLV,13,134
3,CLV,25,138
4,CLV,39,142
5,CLV,56,146
6,CLV,75,150
7,CLV,98,154
8,CLV,122,158
9,CLV,150,162
10,CLV,179,166
11,CLV,213,170
12,CLV,252,174
13,CLV,296,178
14,CLV,346,182
15,CLV,400,186
16,CLV,462,190
17,CLV,530,194
18,CLV,607,198
19,CLV,692,202
20,CLV,784,206
21,CLV,885,210
22,CLV,997,214
23,CLV,1119,218
24,CLV,1252,222
25,CLV,1395,226
26,CLV,1550,230
27,CLV,1717,234
28,CLV,1898,238
29,CLV,2092,242
30,CLV,2298,246
31,CLV,2519,250
32,CLV,2756,254
33,CLV,3008,258
34,CLV,3276,262
35,CLV,3559,266
36,CLV,3861,270
37,CLV,4183,274
38,CLV,4527,278
39,CLV,4891,282
40,CLV,5275,286
41,CLV,5684,290
42,CLV,6118,294
43,CLV,6578,298
44,CLV,7064,302
45,CLV,7576,306
46,CLV,8121,310
47,CLV,8705,314
48,CLV,9328,318
49,CLV,9989,322
50,CLV,10690,326
