2,84,1,LSM01L05,SELV0120,SELV0130,CAT_05,CIT_01&SCIT_01,60,3,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,6
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,6
,,,,,,,,,,,,,,,
0,1,7,8,0,0,0,1,0,6,0,1,0,0,0,1
0,1,7,7,7,7,7,8,0,5,0,1,0,0,0,1
,,,,,,,,,,,,,,,
0,1,0,0,0,1,0,0,0,1,0,2,3,4,0,6
0,1,0,0,0,1,0,0,0,1,0,2,3,2,0,6
,,,,,,,,,,,,,,,
0,3,0,2,0,1,0,4,0,3,0,0,0,0,0,2
0,3,0,2,0,3,0,2,0,3,0,2,0,3,0,2
,,,,,,,,,,,,,,,
0,1,7,8,0,0,0,1,0,6,0,1,0,0,0,1
0,1,7,7,7,7,7,8,0,5,0,1,0,0,0,1
,,,,,,,,,,,,,,,
0,1,0,0,0,1,0,0,0,1,0,2,3,4,0,6
0,1,0,0,0,1,0,0,0,1,0,2,3,2,0,6
,,,,,,,,,,,,,,,
0,3,0,2,0,1,0,4,0,3,0,0,0,0,0,2
0,3,0,2,0,3,0,2,0,3,0,2,0,3,0,2
,,,,,,,,,,,,,,,
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,6
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,6
,,,,,,,,,,,,,,,
0,1,0,0,0,1,0,0,0,1,0,2,3,4,0,6
0,1,0,0,0,1,0,0,0,1,0,2,3,2,0,6
,,,,,,,,,,,,,,,
0,1,7,8,0,0,0,1,0,6,0,1,0,0,0,1
0,1,7,7,7,7,7,8,0,5,0,1,0,0,0,1
,,,,,,,,,,,,,,,
0,3,0,2,0,1,0,4,0,3,0,0,0,0,0,0
0,5,7,7,7,7,7,7,7,7,7,7,7,7,8,0
