1,92,1,LSM03L07,SELV0120,SELV0130,CAT_18,CIT_01&SCIT_01,45,3,0,0,0,0,0,0
0,C1,0,C1,0,C1,0,C1,0,0,0,F1,0,0,0,E4
0,0,0,D4,0,C3,0,0,0,D1,0,0,0,D4,0,0
,,,,,,,,,,,,,,,
0,0,0,D1,0,-D2,0,D4,0,0,0,D4,0,E2,0,0
0,0,0,D4,0,0,0,0,0,0,0,A5,0,0,0,0
,,,,,,,,,,,,,,,
0,C1,0,C1,0,C1,0,C1,0,0,0,F1,0,0,0,E4
0,0,0,F1,0,E2,0,0,0,E4,0,0,0,D4,0,0
,,,,,,,,,,,,,,,
0,0,0,C1,0,0,0,D4,0,D1,0,-C3,0,C1,0,C1
0,0,0,D4,0,D1,0,0,0,0,0,A6,0,0,0,0
,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,D4,0,0,0,0
0,E4,0,0,0,0,0,A5,0,0,0,0,0,D4,0,0
,,,,,,,,,,,,,,,
0,E4,0,0,0,D4,0,0,0,0,0,A6,0,0,0,0
0,D1,0,D4,0,D1,0,0,0,C3,0,0,0,C1,0,0
,,,,,,,,,,,,,,,
0,0,0,E4,0,0,0,0,0,0,0,0,0,F1,0,0
0,0,0,A5,0,A6,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
0,0,0,C1,0,-C3,0,D1,0,D4,0,D1,0,0,0,C1
0,0,0,C1,0,0,0,0,0,C1,0,0,0,C1,0,0
,,,,,,,,,,,,,,,
0,0,0,D4,0,-D1,0,C3,0,0,0,C1,0,0,0,D4
0,0,0,D4,0,0,0,0,0,D4,0,0,0,D4,0,0
,,,,,,,,,,,,,,,
0,0,0,0,0,F1,0,0,0,0,0,0,0,A5,0,0
0,0,0,A6,0,0,0,0,0,0,0,0,0,0,0,0
