3,76,1,LSM04L03,SELV0120,SELV0130,,CIT_01_ADS&SCIT_01,60,9,0,0,0,0,0,0
0,0,0,F2,0,F2,0,F2,0,E4,0,E3,0,E1,0,E1
E3,E1,0,D3,0,0,0,A5,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
0,0,0,F2,0,F2,0,F2,F2,E4,0,E3,0,E1,0,E1
E3,E1,0,D3,0,0,0,A6,0,0,0,0,0,E1,E1,E1
,,,,,,,,,,,,,,,
0,C4,0,E1,0,E1,0,E1,D3,E3,0,E3,0,E1,0,0
0,C4,0,E1,0,E1,E1,E1,D3,E3,0,E3,0,E1,0,D3
,,,,,,,,,,,,,,,
0,0,0,F2,0,F2,0,F2,E3,F4,0,F2,0,E3,0,E3
F2,E1,0,D3,0,0,0,A5,0,0,0,A6,0,0,0,0
,,,,,,,,,,,,,,,
0,E3,0,E1,E3,E1,E3,E1,D3,E1,0,D3,0,E3,0,0
0,E1,E3,E1,E3,E1,E3,E1,D3,E1,0,D3,0,E3,0,0
,,,,,,,,,,,,,,,
0,0,0,F2,F2,F2,F2,E4,E3,E4,0,G3,0,G3,0,0
F2,F7,F7,F7,F7,F8,0,G3,0,G3,0,0,0,0,0,0
,,,,,,,,,,,,,,,
0,E3,0,E3,0,E3,0,E3,E1,D3,0,E3,0,E1,0,0
0,C4,0,C4,D3,E1,0,E1,D3,C4,0,E3,0,E1,0,0
,,,,,,,,,,,,,,,
0,E3,E3,E3,F2,F2,0,E3,0,E1,0,E3,E1,D3,0,0
0,C2,C2,C2,0,C2,C2,C2,0,C2,C2,C2,0,E1,0,0
,,,,,,,,,,,,,,,
0,D3,0,D3,0,D3,0,D3,0,D3,0,D3,C4,D3,0,E1
0,D3,0,D3,0,D3,0,D3,0,D3,0,D3,C4,D3,0,E1
,,,,,,,,,,,,,,,
0,D3,0,D3,0,D3,0,D3,D3,D3,0,D3,C4,D3,0,E1
0,D3,0,D3,0,D3,0,D3,0,D3,0,D3,0,0,0,0
,,,,,,,,,,,,,,,
0,D3,0,D3,0,D3,0,D3,0,D3,D3,D3,C4,D3,0,E1
0,D3,D3,D3,0,D3,0,D3,D3,D3,0,D3,C4,D3,0,E1
,,,,,,,,,,,,,,,
0,D3,D3,D3,0,D3,D3,D3,0,D3,0,D3,C4,D3,0,E1
0,D3,D7,D7,D7,D7,D7,D8,C4,D3,0,D3,0,E1,0,0
,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
0,0,0,E4,0,E3,0,E1,0,D3,0,C4,0,C2,0,C2
C4,B1,0,A3,0,0,0,A5,0,0,0,A6,0,0,0,0
,,,,,,,,,,,,,,,
0,0,0,D3,C4,D3,0,D3,C4,E4,0,E3,E4,F2,0,E3
E1,0,D3,0,0,0,C4,D3,C4,E4,0,E3,0,E1,0,D3
,,,,,,,,,,,,,,,
0,E3,0,E3,0,E3,0,E3,E1,D3,0,E3,0,E1,0,0
0,C4,0,C4,D3,E1,0,E1,D3,C4,0,E3,0,E1,0,0
,,,,,,,,,,,,,,,
0,E3,E3,E3,F2,F2,0,E3,0,E1,0,E3,E1,D3,0,0
0,C2,C2,C2,0,C2,C2,C2,0,C2,C2,C2,0,E1,0,0
,,,,,,,,,,,,,,,
0,E3,0,D3,0,0,0,0,0,E3,0,D3,0,0,0,0
0,F2,0,D3,0,0,0,0,0,D3,0,C2,0,0,0,0
,,,,,,,,,,,,,,,
0,E3,0,D3,0,0,0,D3,E1,E3,E1,E3,E1,0,0,0
0,E3,0,D3,0,E3,0,D3,0,E3,0,D3,0,E3,0,D3
,,,,,,,,,,,,,,,
0,E1,0,E3,0,E1,D3,D3,E1,E3,0,E1,0,0,D3,0
0,E1,0,E3,0,E1,D3,D3,E1,E3,0,E1,0,0,D3,0
,,,,,,,,,,,,,,,
0,E1,0,E3,0,E1,D3,D3,E1,E3,0,E1,0,0,D3,0
0,E1,0,E3,0,E1,D3,D3,E1,E3,0,E1,0,0,0,A6
,,,,,,,,,,,,,,,
0,0,0,D3,0,D3,0,D3,0,D3,0,D3,0,D3,C4,D3
0,E1,0,D3,0,D3,0,D3,0,D3,0,D3,0,D3,C4,D3
,,,,,,,,,,,,,,,
0,E1,0,D3,0,D3,0,D3,0,D3,D3,D3,0,D3,C4,D3
0,E1,0,D3,0,D3,0,D3,0,D3,0,D3,0,D3,0,0
,,,,,,,,,,,,,,,
0,0,0,D3,0,D3,0,D3,0,D3,0,D3,D3,D3,C4,D3
0,E1,0,D3,D3,D3,0,D3,0,D3,D3,D3,0,D3,C4,D3
,,,,,,,,,,,,,,,
0,E1,0,D3,D3,D3,0,D3,D3,D3,0,D3,0,D3,C4,D3
0,E1,0,D3,D7,D7,D7,D7,D7,D8,C4,D3,0,D3,0,E1
,,,,,,,,,,,,,,,
0,0,0,D3,D3,D3,0,D3,D3,D3,0,D3,0,D3,C4,D3
0,E1,0,D3,D7,D7,D7,D7,D7,D8,C4,D3,0,D3,0,E1
