3,70,1,LSM03L10,SELV0120,SELV0130,,CIT_01&SCIT_01,30,5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,B1,E1,-D2,-C4,E1,0
0,0,-C2,B1,-B3,E1,0,0,0,0,D2,0,0,0,0,A5
,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,B1,E1,-D2,-C4,E1,0
0,0,-C2,B1,-B3,E1,0,0,0,0,D2,0,0,0,0,A6
,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,E1,-D2,-C4,E1,0
0,0,-C2,B1,-B3,E1,0,0,0,0,D2,0,0,0,0,C1
,,,,,,,,,,,,,,,
C2,0,E1,0,0,C4,0,0,C2,0,0,0,0,C2,0,C2
C4,0,C4,0,0,0,C2,-C1,C2,0,D2,0,0,C1,0,0
,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,E1,0,0,E1,E1
E1,0,E1,0,0,C2,0,0,0,E1,0,E1,0,0,0,D2
,,,,,,,,,,,,,,,
-E1,0,D2,0,0,0,0,0,0,E1,0,E1,0,0,E1,E1
-E3,0,D2,0,0,C4,0,C1,0,0,C2,0,0,D2,0,0
,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,E1,0,0,E1,-C4
C2,0,C4,0,0,D2,0,0,0,0,0,E1,0,0,E1,-C4
,,,,,,,,,,,,,,,
C2,0,C4,0,0,C2,0,-C1,C2,-E1,D2,0,0,E1,0,E3
0,0,E1,0,0,B3,0,B3,0,B1,0,B3,0,C1,-C2,0
,,,,,,,,,,,,,,,
0,E1,E1,E1,0,E1,0,E1,0,0,A5,0,0,0,0,0
0,E1,E1,E1,0,E1,0,E1,0,0,A6,0,0,0,0,0
,,,,,,,,,,,,,,,
0,E1,E1,E1,0,E1,0,E1,0,0,E3,0,0,0,0,0
0,0,0,F1,0,E1,-D2,0,0,0,C4,-C4,0,E1,-D2,0
,,,,,,,,,,,,,,,
0,E1,E1,E1,0,E1,0,E1,0,0,E3,0,0,D2,0,0
C4,0,0,B3,0,B1,0,C4,0,C4,C4,0,C2,0,D2,0
,,,,,,,,,,,,,,,
C2,0,0,0,0,E3,-F1,F2,0,0,E1,0,0,D2,0,0
0,0,0,C4,0,E1,-D2,0,0,0,0,D2,0,D2,D2,0
,,,,,,,,,,,,,,,
D2,0,0,D2,0,0,0,0,0,0,0,A5,0,0,0,0
0,0,0,C2,0,0,0,0,0,0,0,A6,0,0,0,0
,,,,,,,,,,,,,,,
0,E1,E1,E1,0,E1,0,E1,0,0,A5,0,0,0,0,0
0,E1,E1,E1,0,E1,0,E1,0,0,A6,0,0,0,0,0
,,,,,,,,,,,,,,,
0,E1,E1,E1,0,E1,0,E1,0,0,E3,0,0,0,0,0
0,0,0,F1,0,E1,-D2,0,0,0,C4,-C4,0,E1,-D2,0
,,,,,,,,,,,,,,,
0,E1,E1,E1,0,E1,0,E1,0,0,E3,0,0,D2,0,0
C4,0,0,B3,0,B1,0,C4,0,C4,C4,0,C2,0,D2,0
,,,,,,,,,,,,,,,
C2,0,0,0,0,E3,-F1,F2,0,0,E1,0,0,D2,0,0
0,0,0,C4,0,E1,-D2,0,0,0,0,D2,0,D2,D2,0
,,,,,,,,,,,,,,,
D2,0,0,D2,0,0,0,0,0,0,0,A5,0,0,0,0
0,0,0,C2,0,0,0,0,0,0,0,A6,0,0,0,0
