3,80,1,LSM01L03,SELV0120,SELV0130,,CIT_01_ADS&SCIT_01,60,4,0,0,0,0,0,0
0,F2,0,F2,0,F2,0,E4,0,E4,0,0,0,0,0,0
0,F2,0,F2,0,F2,0,E4,0,E4,0,G1,0,F4,0,E4
,,,,,,,,,,,,,,,
0,F2,0,F2,0,F2,0,E4,0,E4,0,0,0,0,0,0
0,F2,0,F2,0,F2,0,E4,0,E4,0,G1,0,F4,0,E4
,,,,,,,,,,,,,,,
0,F2,0,F2,0,F2,0,E4,0,E4,0,0,0,A5,0,0
0,F2,0,F2,0,F2,0,E4,0,E4,0,G1,0,F4,0,E4
,,,,,,,,,,,,,,,
0,0,0,E1,E2,E4,0,E1,E2,E4,0,0,0,A5,0,0
0,0,0,E1,E2,E4,0,E1,E2,E4,0,0,0,A6,0,0
,,,,,,,,,,,,,,,
0,0,0,E1,E2,E4,0,E1,E2,E4,0,0,0,A5,0,0
0,0,0,E1,E2,E4,0,E1,E2,E4,0,0,0,A6,0,0
,,,,,,,,,,,,,,,
0,F2,0,F2,0,F2,0,E4,0,E4,0,0,0,0,0,0
0,F2,0,F2,0,F2,0,E4,0,E4,0,G1,0,F4,0,E4
,,,,,,,,,,,,,,,
0,F2,0,F2,0,F2,0,E4,0,E4,0,0,0,0,0,0
0,F2,0,F2,0,F2,0,E4,0,E4,0,G1,0,F4,0,E4
,,,,,,,,,,,,,,,
0,F2,0,F2,0,F2,0,E4,0,E4,0,0,0,A5,0,0
0,F2,0,F2,0,F2,0,E4,0,E4,0,G1,0,F4,0,E4
,,,,,,,,,,,,,,,
0,0,0,E1,E2,E4,0,E1,E2,E4,0,0,0,A5,0,0
0,0,0,E1,E2,E4,0,E1,E2,E4,0,0,0,A6,0,0
,,,,,,,,,,,,,,,
0,0,0,E1,E2,E4,0,E1,E2,E4,0,0,0,A5,0,0
0,0,0,E1,E2,E4,0,E1,E2,E4,0,0,0,A6,0,0
,,,,,,,,,,,,,,,
0,F2,0,F2,0,F2,0,E4,0,E4,0,0,0,A5,0,0
0,F2,0,F2,0,F2,0,E4,0,E4,0,G1,0,F4,0,E4
,,,,,,,,,,,,,,,
0,F2,0,F2,0,F2,0,E4,0,E4,0,0,0,A5,0,0
0,F2,0,F2,0,F2,0,E4,0,E4,0,G1,0,F4,0,E4
,,,,,,,,,,,,,,,
0,0,0,E1,E2,E4,0,E1,E2,E4,0,0,0,A5,0,0
0,0,0,E1,E2,E4,0,E1,E2,E4,0,0,0,A6,0,0
,,,,,,,,,,,,,,,
0,0,0,E1,E2,E4,0,E1,E2,E4,0,0,0,A5,0,0
0,0,0,E1,E2,E4,0,E1,E2,E4,0,0,0,A6,0,0
,,,,,,,,,,,,,,,
0,F2,0,F2,0,F2,0,E4,0,E4,0,0,0,A5,0,0
0,F2,0,F2,0,F2,0,E4,0,E4,0,G1,0,F4,0,E4
