2,69,50,LSM06L05,SELV0120,SELV0130,CAT_04,CIT_01&SCIT_01,60,4,0,0,0,0,0,0
1,0,1,0,2,0,0,0,1,0,1,0,4,0,2,0
1,0,1,0,2,0,0,0,5,0,5,0,6,0,0,0
,,,,,,,,,,,,,,,
5,0,6,0,3,0,0,0,5,0,6,0,4,0,0,0
5,0,6,0,3,0,0,0,4,0,4,0,1,0,0,0
,,,,,,,,,,,,,,,
1,0,1,0,2,0,0,0,1,0,1,0,4,0,2,0
1,0,1,0,2,0,0,0,5,0,5,0,6,0,0,0
,,,,,,,,,,,,,,,
5,0,6,0,3,0,0,0,5,0,6,0,4,0,0,0
5,0,6,0,3,0,0,0,4,0,4,0,1,0,0,0
,,,,,,,,,,,,,,,
1,0,1,0,2,0,0,0,1,0,1,0,4,0,0,0
1,0,1,0,2,0,0,0,1,0,1,0,4,0,2,0
,,,,,,,,,,,,,,,
1,0,1,0,2,0,0,0,1,0,1,0,4,0,2,0
1,0,1,0,2,0,0,0,5,0,5,0,6,0,0,0
,,,,,,,,,,,,,,,
5,0,6,0,3,0,0,0,5,0,6,0,4,0,0,0
5,0,6,0,3,0,0,0,4,0,4,0,1,0,0,0
,,,,,,,,,,,,,,,
1,0,1,0,2,0,0,0,1,0,1,0,4,0,2,0
1,0,1,0,2,0,0,0,5,0,5,0,6,0,0,0
,,,,,,,,,,,,,,,
5,0,6,0,3,0,0,0,5,0,6,0,4,0,0,0
5,0,6,0,3,0,0,0,4,0,4,0,1,0,0,0
,,,,,,,,,,,,,,,
1,0,1,0,2,0,0,0,1,0,1,0,4,0,2,0
1,0,1,0,2,0,0,0,5,0,5,0,6,0,0,0
,,,,,,,,,,,,,,,
5,0,6,0,3,0,0,0,5,0,6,0,4,0,0,0
5,0,6,0,3,0,0,0,4,0,4,0,1,0,0,0
