1,74,1,LSM01L07,SELV0120,SELV0130,CAT_06,CIT_01&SCIT_01,30,2,0,0,0,0,0,0
0,E1,0,-E2,0,E4,0,0,0,G1,0,0,0,E4,0,0
0,G3,0,0,0,E4,0,0,0,E1,0,-G3,0,G1,0,0
,,,,,,,,,,,,,,,
0,F4,0,0,0,E4,0,0,0,E2,0,0,0,E1,0,0
0,D1,0,0,0,E2,0,0,0,E1,0,-D3,0,E1,0,0
,,,,,,,,,,,,,,,
0,E1,0,-E2,0,E4,0,0,0,G1,0,0,0,E4,0,0
0,G3,0,0,0,H1,0,0,0,H2,0,-H1,0,H4,0,0
,,,,,,,,,,,,,,,
0,H2,0,-H1,0,G1,0,0,0,0,0,0,0,F2,0,-G1
0,0,0,G3,0,-G3,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
0,E1,0,E2,0,E4,0,0,0,G1,0,0,0,E4,0,0
0,G3,0,0,0,H1,0,0,0,H2,0,-H1,0,H4,0,0
,,,,,,,,,,,,,,,
0,H2,0,-H1,0,G1,0,0,0,0,0,0,0,F2,0,-G1
0,0,0,G3,0,-G3,0,0,0,0,0,0,0,0,0,0
